dateSold,propertyType,lotAreaValue,address,zestimate,imgSrc,price,detailUrl,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,built_year,variableData.text,variableData.type,listingSubType.is_FSBA,unit,variableData,listingSubType.is_forAuction,listingSubType.is_openHouse,listingSubType.is_bankOwned,zip,city,year
1711609200000,SINGLE_FAMILY,2447.0,"24792 Via San Rafael, Aliso Viejo, CA 92656",673200.0,https://photos.zillowstatic.com/fp/d85b279b65f8d8134a515637837fb782-p_e.jpg,670000,/homedetails/24792-Via-San-Rafael-Aliso-Viejo-CA-92656/25542243_zpid/,3,,-117.722595,33.602184,RECENTLY_SOLD,25542243,3814,17,2.0,1240,USA,USD,sqft,True,1970s,Sold 03/28/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
1708934400000,SINGLE_FAMILY,2446.0,"23375 El Reposa, Aliso Viejo, CA 92656",645500.0,https://photos.zillowstatic.com/fp/d01078943c9238089a393ecb44ab9385-p_e.jpg,632000,/homedetails/23375-El-Reposa-Aliso-Viejo-CA-92656/25542306_zpid/,3,,-117.72207,33.601254,RECENTLY_SOLD,25542306,3814,48,2.0,1240,USA,USD,sqft,True,1970s,Sold 02/26/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
1707206400000,SINGLE_FAMILY,2447.0,"23466 Los Adornos, Aliso Viejo, CA 92656",743200.0,https://photos.zillowstatic.com/fp/bf4e61b9dee06575fb1995ea380eba64-p_e.jpg,720000,/homedetails/23466-Los-Adornos-Aliso-Viejo-CA-92656/25542498_zpid/,3,,-117.7205,33.60195,RECENTLY_SOLD,25542498,3814,68,2.0,1240,USA,USD,sqft,True,1970s,Sold 02/06/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
1706169600000,TOWNHOUSE,2447.0,"23431 El Reposa, Aliso Viejo, CA 92656",702800.0,https://photos.zillowstatic.com/fp/0fe24d84b825014c9fe90603a3eaa1e0-p_e.jpg,675000,/homedetails/23431-El-Reposa-Aliso-Viejo-CA-92656/25542327_zpid/,3,,-117.72102,33.60096,RECENTLY_SOLD,25542327,3814,80,2.0,1240,USA,USD,sqft,True,1970s,Sold 01/25/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
1704960000000,SINGLE_FAMILY,2220.0,"23495 Via Jacinto, Aliso Viejo, CA 92656",748800.0,https://photos.zillowstatic.com/fp/51c25b61b90712d2e7f1af7933725a22-p_e.jpg,715000,/homedetails/23495-Via-Jacinto-Aliso-Viejo-CA-92656/25542140_zpid/,3,,-117.72023,33.60348,RECENTLY_SOLD,25542140,3800,94,2.0,1240,USA,USD,sqft,True,1970s,Sold 01/11/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
1700208000000,CONDO,2264.0,"24924 Via San Rafael, Aliso Viejo, CA 92656",774600.0,https://photos.zillowstatic.com/fp/06ea3be6af14bf0a63a675fe6c8fe920-p_e.jpg,727500,/homedetails/24924-Via-San-Rafael-Aliso-Viejo-CA-92656/25542288_zpid/,3,,-117.72218,33.600327,RECENTLY_SOLD,25542288,3800,149,2.0,1240,USA,USD,sqft,True,1970s,Sold 11/17/2023,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2023
1712559600000,TOWNHOUSE,2618.0,"70 Tortuga Cay, Aliso Viejo, CA 92656",1036100.0,https://photos.zillowstatic.com/fp/e2c82870b1b3c232938da4161197638b-p_e.jpg,1035000,/homedetails/70-Tortuga-Cay-Aliso-Viejo-CA-92656/25710871_zpid/,3,,-117.71988,33.58513,RECENTLY_SOLD,25710871,4099,6,3.0,1568,USA,USD,sqft,True,1980s,Sold 04/08/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
1712214000000,CONDO,,"3 Matisse Cir #2, Aliso Viejo, CA 92656",740800.0,https://photos.zillowstatic.com/fp/72ede6b6805a76c0ec3ba8c5ec38130e-p_e.jpg,740000,/homedetails/3-Matisse-Cir-2-Aliso-Viejo-CA-92656/25664999_zpid/,2,,-117.72277,33.55885,RECENTLY_SOLD,25664999,3194,10,2.0,1027,USA,USD,,True,1980s,Sold 04/04/2024,RECENTLY_SOLD,,# 2,,,,,92656,Aliso Viejo,2024
1712214000000,CONDO,,"237 Woodcrest Ln, Aliso Viejo, CA 92656",946000.0,https://photos.zillowstatic.com/fp/15fd71747d02a2c674e1fde1a4753cf5-p_e.jpg,945000,/homedetails/237-Woodcrest-Ln-Aliso-Viejo-CA-92656/25763661_zpid/,3,,-117.73834,33.584408,RECENTLY_SOLD,25763661,2651,10,3.0,1328,USA,USD,,True,1980s,Sold 04/04/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
1711609200000,TOWNHOUSE,3700.0,"24 Donatello, Aliso Viejo, CA 92656",934500.0,https://photos.zillowstatic.com/fp/f6c51060eb92413f304cdd90374a30af-p_e.jpg,930000,/homedetails/24-Donatello-Aliso-Viejo-CA-92656/25710185_zpid/,3,,-117.71935,33.59771,RECENTLY_SOLD,25710185,4440,17,3.0,1640,USA,USD,sqft,True,1980s,Sold 03/28/2024,RECENTLY_SOLD,,,,,,,92656,Aliso Viejo,2024
