zpid,grocery store count,park count,school count
21122605,1,1,2
21122611,1,1,2
25092451,0,0,1
25094063,0,0,1
25102510,0,0,2
25103386,2,0,1
25109265,1,0,2
25109317,1,0,2
25109418,2,0,2
25109422,2,0,2
25109463,2,0,2
25109768,0,0,2
25110038,1,0,2
25112093,2,0,1
25113144,0,0,2
25113302,0,0,2
25113383,0,0,2
25113502,0,0,1
25113567,1,0,2
25113612,0,0,2
25113804,0,0,1
25113928,1,0,2
25114742,1,0,2
25115521,1,0,2
25119316,1,0,0
25132124,1,1,0
25132517,1,0,0
25133068,3,0,0
25134646,0,1,1
25135119,0,0,1
25136063,3,1,2
25136766,0,1,2
25139328,0,2,1
25139735,0,3,1
25140739,0,3,0
25141340,0,2,0
25141580,0,3,0
25141614,0,2,0
25142776,2,0,2
25142777,2,0,2
25142804,2,0,2
25144078,0,0,1
25144107,0,0,1
25144238,0,0,1
25144749,1,0,1
25144779,0,0,1
25147309,1,0,1
25147320,1,0,1
25147603,0,0,1
25165030,0,1,1
25165112,0,1,2
25165141,0,1,1
25165146,0,1,1
25165202,0,0,2
25165305,0,1,3
25165310,0,1,3
25165423,0,1,2
25165643,2,0,5
25165898,3,0,4
25166639,2,0,2
25173123,1,0,2
25176278,0,0,3
25176914,1,0,2
25176966,1,0,3
25177408,0,0,1
25180102,1,0,1
25184766,0,1,1
25185181,0,0,3
25185250,0,0,2
25185253,0,0,2
25185386,0,1,2
25185745,0,1,2
25188865,0,1,6
25188969,0,0,5
25192032,0,0,5
25192039,0,0,4
25192685,0,0,5
25193496,0,1,3
25202176,2,0,2
25202355,1,0,2
25202624,2,0,2
25202693,0,0,1
25202873,2,0,1
25203648,1,2,2
25203687,1,2,2
25206486,1,1,4
25210215,2,0,2
25210275,2,0,2
25210350,2,1,1
25210370,2,1,1
25210409,2,1,1
25210671,2,1,1
25210731,2,1,2
25210968,2,1,0
25211321,0,0,1
25211486,0,0,3
25211655,0,0,2
25211873,0,0,3
25212541,4,1,4
25214524,0,0,2
25214528,0,0,2
25215167,2,0,0
25215253,2,1,0
25215901,3,1,0
25215956,3,1,0
25215991,3,1,0
25216613,4,1,0
25216692,0,1,0
25225837,0,0,1
25233704,0,0,1
25233950,0,0,1
25233958,0,0,1
25233993,0,0,1
25237131,0,0,2
25237142,0,0,2
25237607,0,0,1
25237620,0,0,1
25237754,0,0,1
25237993,0,1,2
25239441,0,0,4
25240959,0,0,1
25241157,0,0,3
25241955,0,0,3
25246276,0,0,2
25248397,2,1,0
25248827,1,0,2
25248899,1,1,0
25248900,1,1,0
25248922,1,1,0
25248935,1,1,0
25248954,1,1,0
25253268,1,0,2
25254365,2,0,3
25258146,1,1,3
25258379,1,1,3
25258530,1,1,3
25258704,1,1,4
25258727,1,1,4
25258736,1,1,4
25258827,0,1,1
25258992,0,1,0
25259066,0,1,1
25259170,0,1,0
25259254,0,1,1
25259484,0,2,2
25259714,0,1,0
25259755,0,1,0
25261108,0,2,2
25261201,0,1,0
25261598,0,0,1
25261634,0,0,1
25264462,2,0,4
25271488,1,0,1
25271711,1,0,1
25273160,1,0,2
25274324,1,0,1
25274463,1,1,1
25274570,2,1,2
25274791,1,0,1
25275857,2,0,1
25276746,1,0,1
25279418,1,0,0
25280001,1,0,0
25280053,1,0,0
25280146,1,0,0
25280514,1,0,0
25283508,1,1,3
