dateSold,propertyType,lotAreaValue,address,zestimate,imgSrc,price,detailUrl,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,built_year,variableData.text,variableData.type,listingSubType.is_FSBA,unit,variableData,listingSubType.is_forAuction,listingSubType.is_openHouse,listingSubType.is_bankOwned
1711609200000,SINGLE_FAMILY,2447.0,"24792 Via San Rafael, Aliso Viejo, CA 92656",673200.0,https://photos.zillowstatic.com/fp/d85b279b65f8d8134a515637837fb782-p_e.jpg,670000,/homedetails/24792-Via-San-Rafael-Aliso-Viejo-CA-92656/25542243_zpid/,3,,-117.722595,33.602184,RECENTLY_SOLD,25542243,3814,17,2.0,1240,USA,USD,sqft,True,1970s,Sold 03/28/2024,RECENTLY_SOLD,,,,,,
1708934400000,SINGLE_FAMILY,2446.0,"23375 El Reposa, Aliso Viejo, CA 92656",645500.0,https://photos.zillowstatic.com/fp/d01078943c9238089a393ecb44ab9385-p_e.jpg,632000,/homedetails/23375-El-Reposa-Aliso-Viejo-CA-92656/25542306_zpid/,3,,-117.72207,33.601254,RECENTLY_SOLD,25542306,3814,48,2.0,1240,USA,USD,sqft,True,1970s,Sold 02/26/2024,RECENTLY_SOLD,,,,,,
1707206400000,SINGLE_FAMILY,2447.0,"23466 Los Adornos, Aliso Viejo, CA 92656",743200.0,https://photos.zillowstatic.com/fp/bf4e61b9dee06575fb1995ea380eba64-p_e.jpg,720000,/homedetails/23466-Los-Adornos-Aliso-Viejo-CA-92656/25542498_zpid/,3,,-117.7205,33.60195,RECENTLY_SOLD,25542498,3814,68,2.0,1240,USA,USD,sqft,True,1970s,Sold 02/06/2024,RECENTLY_SOLD,,,,,,
1706169600000,TOWNHOUSE,2447.0,"23431 El Reposa, Aliso Viejo, CA 92656",702800.0,https://photos.zillowstatic.com/fp/0fe24d84b825014c9fe90603a3eaa1e0-p_e.jpg,675000,/homedetails/23431-El-Reposa-Aliso-Viejo-CA-92656/25542327_zpid/,3,,-117.72102,33.60096,RECENTLY_SOLD,25542327,3814,80,2.0,1240,USA,USD,sqft,True,1970s,Sold 01/25/2024,RECENTLY_SOLD,,,,,,
1704960000000,SINGLE_FAMILY,2220.0,"23495 Via Jacinto, Aliso Viejo, CA 92656",748800.0,https://photos.zillowstatic.com/fp/51c25b61b90712d2e7f1af7933725a22-p_e.jpg,715000,/homedetails/23495-Via-Jacinto-Aliso-Viejo-CA-92656/25542140_zpid/,3,,-117.72023,33.60348,RECENTLY_SOLD,25542140,3800,94,2.0,1240,USA,USD,sqft,True,1970s,Sold 01/11/2024,RECENTLY_SOLD,,,,,,
1700208000000,CONDO,2264.0,"24924 Via San Rafael, Aliso Viejo, CA 92656",774600.0,https://photos.zillowstatic.com/fp/06ea3be6af14bf0a63a675fe6c8fe920-p_e.jpg,727500,/homedetails/24924-Via-San-Rafael-Aliso-Viejo-CA-92656/25542288_zpid/,3,,-117.72218,33.600327,RECENTLY_SOLD,25542288,3800,149,2.0,1240,USA,USD,sqft,True,1970s,Sold 11/17/2023,RECENTLY_SOLD,,,,,,
1694761200000,SINGLE_FAMILY,2447.0,"23366 El Reposa, Aliso Viejo, CA 92656",682000.0,https://photos.zillowstatic.com/fp/fc95ee9ca17239f6692960c00da80641-p_e.jpg,635000,/homedetails/23366-El-Reposa-Aliso-Viejo-CA-92656/25542312_zpid/,3,,-117.72222,33.600803,RECENTLY_SOLD,25542312,3949,212,2.0,1240,USA,USD,sqft,True,1970s,Sold 09/15/2023,RECENTLY_SOLD,,,,,,
1690354800000,SINGLE_FAMILY,2447.0,"24802 Via San Rafael, Aliso Viejo, CA 92656",759200.0,https://photos.zillowstatic.com/fp/85dacaad467fd7c4f7a8e800ca5d890a-p_e.jpg,700000,/homedetails/24802-Via-San-Rafael-Aliso-Viejo-CA-92656/25542244_zpid/,3,,-117.72259,33.60206,RECENTLY_SOLD,25542244,3814,263,2.0,1240,USA,USD,sqft,True,1970s,Sold 07/26/2023,RECENTLY_SOLD,,,,,,
1688367600000,SINGLE_FAMILY,2447.0,"23585 El Cerrito, Aliso Viejo, CA 92656",823800.0,https://photos.zillowstatic.com/fp/43651799a37537463b4d77bf1e440499-p_e.jpg,755000,/homedetails/23585-El-Cerrito-Aliso-Viejo-CA-92656/25542358_zpid/,4,,-117.71819,33.60009,RECENTLY_SOLD,25542358,3900,286,2.0,1240,USA,USD,sqft,True,1970s,Sold 07/03/2023,RECENTLY_SOLD,,,,,,
1685948400000,SINGLE_FAMILY,2447.0,"23404 El Reposa, Aliso Viejo, CA 92656",798300.0,https://photos.zillowstatic.com/fp/3b088894e55bd27c81a9ece297dc6f29-p_e.jpg,725000,/homedetails/23404-El-Reposa-Aliso-Viejo-CA-92656/25542274_zpid/,3,,-117.72169,33.6001,RECENTLY_SOLD,25542274,3814,314,2.0,1240,USA,USD,sqft,True,1970s,Sold 06/05/2023,RECENTLY_SOLD,,,,,,
1685602800000,SINGLE_FAMILY,2351.0,"23371 El Reposa, Aliso Viejo, CA 92656",756300.0,https://photos.zillowstatic.com/fp/1f205e7dbf32622a4a2ef87d198e159f-p_e.jpg,684000,/homedetails/23371-El-Reposa-Aliso-Viejo-CA-92656/25542308_zpid/,3,,-117.7222,33.601097,RECENTLY_SOLD,25542308,3800,318,2.0,1240,USA,USD,sqft,True,1970s,Sold 06/01/2023,RECENTLY_SOLD,,,,,,
1684306800000,SINGLE_FAMILY,2447.0,"23425 El Reposa, Aliso Viejo, CA 92656",734400.0,https://photos.zillowstatic.com/fp/583382562cc4ff6fbbc08ae76f79b849-p_e.jpg,660000,/homedetails/23425-El-Reposa-Aliso-Viejo-CA-92656/25542326_zpid/,3,,-117.71848,33.600075,RECENTLY_SOLD,25542326,3814,333,2.0,1240,USA,USD,sqft,True,1970s,Sold 05/17/2023,RECENTLY_SOLD,,,,,,
