zip,income
92861,"$116,658.00"
92657,"$114,004.00"
92679,"$112,998.00"
92602,"$112,399.00"
92694,"$104,306.00"
92887,"$103,926.00"
92625,"$100,080.00"
92660,"$98,119.00"
92673,"$92,073.00"
92610,"$88,710.00"
92808,"$88,329.00"
92620,"$86,467.00"
92782,"$85,977.00"
92692,"$82,690.00"
92886,"$82,188.00"
92677,"$80,146.00"
92676,"$78,269.00"
92614,"$76,934.00"
92651,"$76,644.00"
92662,"$76,381.00"
92807,"$76,381.00"
92691,"$75,184.00"
92656,"$74,688.00"
92688,"$74,173.00"
92869,"$74,117.00"
92604,"$71,779.00"
92606,"$71,155.00"
92649,"$70,779.00"
92708,"$69,710.00"
92646,"$69,638.00"
90623,"$69,096.00"
92630,"$68,311.00"
92663,"$66,978.00"
92845,"$66,830.00"
92835,"$66,607.00"
90720,"$65,715.00"
92629,"$64,622.00"
92661,"$64,293.00"
92648,"$64,156.00"
90630,"$63,611.00"
92870,"$63,367.00"
92823,"$63,266.00"
92867,"$63,039.00"
92675,"$62,937.00"
92705,"$62,368.00"
90638,"$61,724.00"
92624,"$60,797.00"
92612,"$60,257.00"
92821,"$59,189.00"
92626,"$57,929.00"
90620,"$57,861.00"
92647,"$57,528.00"
92672,"$57,110.00"
92865,"$55,512.00"
92618,"$53,337.00"
92833,"$50,929.00"
90631,"$50,666.00"
92806,"$50,555.00"
92704,"$49,923.00"
92683,"$49,686.00"
92707,"$49,080.00"
92780,"$47,961.00"
92840,"$47,153.00"
92841,"$46,892.00"
92653,"$46,716.00"
92627,"$46,138.00"
92706,"$45,435.00"
92866,"$45,307.00"
92868,"$45,267.00"
92831,"$45,102.00"
92832,"$44,037.00"
92843,"$42,872.00"
92655,"$42,218.00"
92844,"$42,218.00"
90740,"$42,067.00"
92804,"$41,887.00"
90621,"$41,716.00"
90680,"$41,578.00"
92802,"$41,408.00"
92703,"$40,674.00"
92801,"$39,789.00"
92805,"$39,609.00"
92701,"$33,728.00"
92603,$0.00
92617,$0.00
92637,$0.00
92799,$0.00
92809,$0.00
92862,$0.00
92899,$0.00
