,zpid_of_the_house,place name,category
0,25542243,ALDI,grocery store
1,25542243,Aliso and Wood Canyons Wilderness Park,park
3,25542243,Mother's Market,grocery store
4,25542243,Brookline Park,park
5,25542243,Creekside Park,park
6,25542243,Sheep Hills Park,park
7,25542243,Iglesia Park,park
8,25542243,Glenbrook Park,park
9,25542243,Argonaut Park,park
10,25542243,Pinewood Park,park
11,25542243,Ridgecrest Park,park
12,25542243,Wingspan Park,park
13,25542243,Aliso Creek Park and Wildlife Sanctuary,park
14,25542243,Glenwood Park,park
15,25542243,City Centre Park,park
16,25542243,Stater Bros.,grocery store
17,25542243,Aliso Viejo,park
21,25542306,ALDI,grocery store
22,25542306,Aliso and Wood Canyons Wilderness Park,park
24,25542306,Mother's Market,grocery store
25,25542306,Brookline Park,park
26,25542306,Creekside Park,park
27,25542306,Sheep Hills Park,park
28,25542306,Iglesia Park,park
29,25542306,Glenbrook Park,park
30,25542306,Argonaut Park,park
31,25542306,Pinewood Park,park
32,25542306,Ridgecrest Park,park
33,25542306,Wingspan Park,park
34,25542306,Aliso Creek Park and Wildlife Sanctuary,park
35,25542306,Glenwood Park,park
36,25542306,City Centre Park,park
37,25542306,Stater Bros.,grocery store
38,25542306,Aliso Viejo,park
42,25542498,ALDI,grocery store
43,25542498,Aliso and Wood Canyons Wilderness Park,park
45,25542498,Mother's Market,grocery store
46,25542498,Brookline Park,park
47,25542498,Creekside Park,park
48,25542498,Sheep Hills Park,park
49,25542498,Iglesia Park,park
50,25542498,Glenbrook Park,park
51,25542498,Argonaut Park,park
52,25542498,Pinewood Park,park
53,25542498,Ridgecrest Park,park
54,25542498,Wingspan Park,park
55,25542498,Aliso Creek Park and Wildlife Sanctuary,park
56,25542498,Glenwood Park,park
57,25542498,City Centre Park,park
58,25542498,Stater Bros.,grocery store
59,25542498,Aliso Viejo,park
63,25542327,ALDI,grocery store
64,25542327,Aliso and Wood Canyons Wilderness Park,park
66,25542327,Mother's Market,grocery store
67,25542327,Brookline Park,park
68,25542327,Creekside Park,park
69,25542327,Sheep Hills Park,park
70,25542327,Crestview Park,park
71,25542327,Iglesia Park,park
72,25542327,Glenbrook Park,park
73,25542327,Argonaut Park,park
74,25542327,Pinewood Park,park
75,25542327,Ridgecrest Park,park
76,25542327,Wingspan Park,park
77,25542327,Aliso Creek Park and Wildlife Sanctuary,park
78,25542327,Glenwood Park,park
79,25542327,City Centre Park,park
80,25542327,Stater Bros.,grocery store
81,25542327,Aliso Viejo,park
84,25542140,ALDI,grocery store
85,25542140,Aliso and Wood Canyons Wilderness Park,park
87,25542140,Mother's Market,grocery store
88,25542140,Brookline Park,park
89,25542140,Creekside Park,park
90,25542140,Sheep Hills Park,park
91,25542140,Iglesia Park,park
92,25542140,Glenbrook Park,park
93,25542140,Argonaut Park,park
94,25542140,Pinewood Park,park
95,25542140,Ridgecrest Park,park
96,25542140,Wingspan Park,park
97,25542140,Aliso Creek Park and Wildlife Sanctuary,park
98,25542140,Glenwood Park,park
99,25542140,City Centre Park,park
100,25542140,Stater Bros.,grocery store
101,25542140,Aliso Viejo,park
105,25542288,ALDI,grocery store
106,25542288,Aliso and Wood Canyons Wilderness Park,park
108,25542288,Mother's Market,grocery store
109,25542288,Brookline Park,park
110,25542288,Creekside Park,park
111,25542288,Sheep Hills Park,park
112,25542288,Crestview Park,park
113,25542288,Iglesia Park,park
114,25542288,Glenbrook Park,park
115,25542288,Argonaut Park,park
116,25542288,Pinewood Park,park
117,25542288,Ridgecrest Park,park
118,25542288,Wingspan Park,park
119,25542288,Aliso Creek Park and Wildlife Sanctuary,park
120,25542288,Glenwood Park,park
121,25542288,City Centre Park,park
122,25542288,Stater Bros.,grocery store
123,25542288,Aliso Viejo,park
126,25710871,Aliso and Wood Canyons Wilderness Park,park
128,25710871,Journey School,school
129,25710871,Trader Joe's,grocery store
130,25710871,Laguna Hills High School,school
131,25710871,Brookline Park,park
132,25710871,Creekside Park,park
133,25710871,Sheep Hills Park,park
134,25710871,Woodfield Park,park
135,25710871,Crestview Park,park
136,25710871,Grand Park,park
137,25710871,Ralphs,grocery store
138,25710871,Aliso Viejo Middle School,school
139,25710871,Aliso Viejo Community Park,park
140,25710871,Aliso Viejo Ranch,park
141,25710871,Springdale Park,park
142,25710871,Glenbrook Park,park
143,25710871,Argonaut Park,park
144,25710871,Pinewood Park,park
145,25710871,Ridgecrest Park,park
146,25710871,Wingspan Park,park
147,25664999,Aliso Niguel High School,school
148,25664999,Walmart Supercenter,grocery store
149,25664999,Aliso and Wood Canyons Wilderness Park,park
151,25664999,Journey School,school
152,25664999,Costco,grocery store
153,25664999,Whole Foods Market,grocery store
154,25664999,Laguna Niguel Elementary School,school
155,25664999,Pavilions,grocery store
156,25664999,Niguel Heights Park,park
157,25664999,Laguna Niguel Regional Park,park
158,25664999,Woodfield Park,park
159,25664999,Ralphs,grocery store
160,25664999,Foxborough Park,park
161,25664999,Hillview Park,park
162,25664999,Oak Park,park
163,25664999,Aliso Canyon Community Park,park
165,25664999,St. Mary's Catholic School,school
167,25664999,,park
171,25763661,Aliso and Wood Canyons Wilderness Park,park
173,25763661,Trader Joe's,grocery store
174,25763661,Laguna Coast Wilderness Park,park
176,25763661,Hummingbird Park,park
177,25763661,Brookline Park,park
178,25763661,Grand Park,park
179,25763661,Canyon View Park,park
180,25763661,Argonaut Park,park
181,25763661,Ridgecrest Park,park
182,25763661,Wingspan Park,park
183,25763661,Acorn Park,park
184,25763661,Don Juan Avila Elementary School,school
185,25763661,Vantis,park
186,25763661,Aliso Viejo,park
188,25710185,ALDI,grocery store
189,25710185,Aliso and Wood Canyons Wilderness Park,park
191,25710185,Laguna Hills High School,school
192,25710185,Brookline Park,park
193,25710185,Creekside Park,park
194,25710185,Sheep Hills Park,park
195,25710185,Crestview Park,park
196,25710185,Iglesia Park,park
197,25710185,Glenbrook Park,park
198,25710185,Argonaut Park,park
199,25710185,Pinewood Park,park
200,25710185,Ridgecrest Park,park
201,25710185,Wingspan Park,park
202,25710185,Aliso Creek Park and Wildlife Sanctuary,park
203,25710185,Glenwood Park,park
204,25710185,Aliso Viejo,park
209,25550800,Aliso Niguel High School,school
210,25550800,Walmart Supercenter,grocery store
211,25550800,Aliso and Wood Canyons Wilderness Park,park
213,25550800,Journey School,school
214,25550800,Trader Joe's,grocery store
215,25550800,Costco,grocery store
216,25550800,Stater Bros.,grocery store
217,25550800,Pavilions,grocery store
218,25550800,Niguel Heights Park,park
219,25550800,Creekside Park,park
220,25550800,Woodfield Park,park
221,25550800,Crestview Park,park
222,25550800,Grand Park,park
223,25550800,Ralphs,grocery store
224,25550800,Aliso Viejo Middle School,school
225,25550800,Aliso Viejo Community Park,park
226,25550800,Aliso Viejo Ranch,park
227,25550800,Springdale Park,park
228,25550800,Foxborough Park,park
229,25550800,Hillview Park,park
230,25710396,ALDI,grocery store
231,25710396,Aliso and Wood Canyons Wilderness Park,park
233,25710396,Laguna Hills High School,school
234,25710396,Brookline Park,park
235,25710396,Creekside Park,park
236,25710396,Sheep Hills Park,park
237,25710396,Crestview Park,park
