id,zpid,name,category
2,25542243,Aliso and Wood Canyons Wilderness Park,park
19,25542306,Aliso and Wood Canyons Wilderness Park,park
36,25542498,Aliso and Wood Canyons Wilderness Park,park
53,25542327,Aliso and Wood Canyons Wilderness Park,park
71,25542140,Aliso and Wood Canyons Wilderness Park,park
88,25542288,Aliso and Wood Canyons Wilderness Park,park
105,25710871,Aliso and Wood Canyons Wilderness Park,park
107,25710871,Trader Joe's,grocery store
108,25710871,Laguna Hills High School,school
115,25710871,Ralphs,grocery store
116,25710871,Aliso Viejo Middle School,school
117,25710871,Aliso Viejo Community Park,park
125,25664999,Aliso Niguel High School,school
127,25664999,Aliso and Wood Canyons Wilderness Park,park
129,25664999,Costco,grocery store
130,25664999,Whole Foods Market,grocery store
131,25664999,Laguna Niguel Elementary School,school
134,25664999,Laguna Niguel Regional Park,park
136,25664999,Ralphs,grocery store
143,25763661,Aliso and Wood Canyons Wilderness Park,park
144,25763661,Trader Joe's,grocery store
154,25763661,Don Juan Avila Elementary School,school
158,25710185,Aliso and Wood Canyons Wilderness Park,park
159,25710185,Laguna Hills High School,school
173,25550800,Aliso Niguel High School,school
175,25550800,Aliso and Wood Canyons Wilderness Park,park
177,25550800,Trader Joe's,grocery store
178,25550800,Costco,grocery store
186,25550800,Ralphs,grocery store
187,25550800,Aliso Viejo Middle School,school
188,25550800,Aliso Viejo Community Park,park
194,25710396,Aliso and Wood Canyons Wilderness Park,park
195,25710396,Laguna Hills High School,school
210,25745677,Aliso and Wood Canyons Wilderness Park,park
218,25763400,Aliso and Wood Canyons Wilderness Park,park
219,25763400,Trader Joe's,grocery store
220,25763400,Laguna Hills High School,school
226,25763400,Aliso Viejo Middle School,school
227,25763400,Aliso Viejo Community Park,park
238,25761645,Aliso and Wood Canyons Wilderness Park,park
239,25761645,Trader Joe's,grocery store
240,25761645,Laguna Hills High School,school
246,25761645,Aliso Viejo Middle School,school
247,25761645,Aliso Viejo Community Park,park
258,25774647,Aliso and Wood Canyons Wilderness Park,park
260,25774647,Trader Joe's,grocery store
261,25774647,Costco,grocery store
264,25774647,Laguna Hills High School,school
269,25774647,Aliso Viejo Middle School,school
270,25774647,Aliso Viejo Community Park,park
277,25774647,Ralphs,grocery store
278,25763330,Aliso and Wood Canyons Wilderness Park,park
279,25763330,Trader Joe's,grocery store
280,25763330,Laguna Hills High School,school
286,25763330,Aliso Viejo Middle School,school
287,25763330,Aliso Viejo Community Park,park
297,25763330,Don Juan Avila Elementary School,school
298,25543050,Aliso and Wood Canyons Wilderness Park,park
305,25763310,Aliso and Wood Canyons Wilderness Park,park
306,25763310,Laguna Hills High School,school
311,25763310,Aliso Viejo Middle School,school
312,25763310,Aliso Viejo Community Park,park
321,25763310,Don Juan Avila Elementary School,school
325,25710975,Aliso and Wood Canyons Wilderness Park,park
326,25710975,Trader Joe's,grocery store
327,25710975,Laguna Hills High School,school
334,25710975,Aliso Viejo Middle School,school
335,25710975,Aliso Viejo Community Park,park
343,25710975,Don Juan Avila Elementary School,school
345,2069355074,Aliso and Wood Canyons Wilderness Park,park
346,2069355074,Trader Joe's,grocery store
347,2069355074,Laguna Hills High School,school
354,2069355074,Aliso Viejo Middle School,school
355,2069355074,Aliso Viejo Community Park,park
363,2069355074,Don Juan Avila Elementary School,school
365,25773115,Aliso Niguel High School,school
367,25773115,Aliso and Wood Canyons Wilderness Park,park
369,25773115,Trader Joe's,grocery store
370,25773115,Costco,grocery store
377,25773115,Ralphs,grocery store
378,25773115,Aliso Viejo Middle School,school
379,25773115,Aliso Viejo Community Park,park
385,25761631,Aliso and Wood Canyons Wilderness Park,park
386,25761631,Trader Joe's,grocery store
387,25761631,Laguna Hills High School,school
393,25761631,Aliso Viejo Middle School,school
394,25761631,Aliso Viejo Community Park,park
405,25544649,Aliso and Wood Canyons Wilderness Park,park
417,25544649,Don Juan Avila Elementary School,school
421,25710138,Aliso and Wood Canyons Wilderness Park,park
422,25710138,Laguna Hills High School,school
439,25773114,Aliso Niguel High School,school
441,25773114,Aliso and Wood Canyons Wilderness Park,park
443,25773114,Trader Joe's,grocery store
444,25773114,Costco,grocery store
451,25773114,Ralphs,grocery store
452,25773114,Aliso Viejo Middle School,school
453,25773114,Aliso Viejo Community Park,park
459,25542782,Aliso and Wood Canyons Wilderness Park,park
460,25542782,Laguna Hills High School,school
465,25542782,Aliso Viejo Middle School,school
466,25542782,Aliso Viejo Community Park,park
478,25543994,Aliso and Wood Canyons Wilderness Park,park
489,25761649,Aliso and Wood Canyons Wilderness Park,park
490,25761649,Trader Joe's,grocery store
491,25761649,Laguna Hills High School,school
497,25761649,Aliso Viejo Middle School,school
498,25761649,Aliso Viejo Community Park,park
509,25667213,Aliso Niguel High School,school
511,25667213,Aliso and Wood Canyons Wilderness Park,park
513,25667213,Trader Joe's,grocery store
514,25667213,Costco,grocery store
517,25667213,Laguna Niguel Regional Park,park
520,25667213,Ralphs,grocery store
521,25667213,Aliso Viejo Middle School,school
522,25667213,Aliso Viejo Community Park,park
530,25546453,Aliso and Wood Canyons Wilderness Park,park
531,25546453,Laguna Hills High School,school
549,25710140,Aliso and Wood Canyons Wilderness Park,park
550,25710140,Laguna Hills High School,school
567,25774457,Aliso Niguel High School,school
569,25774457,Aliso and Wood Canyons Wilderness Park,park
571,25774457,Trader Joe's,grocery store
572,25774457,Costco,grocery store
574,25774457,Laguna Niguel Elementary School,school
579,25774457,Ralphs,grocery store
580,25774457,Aliso Viejo Middle School,school
581,25774457,Aliso Viejo Community Park,park
587,25773130,Aliso Niguel High School,school
589,25773130,Aliso and Wood Canyons Wilderness Park,park
591,25773130,Trader Joe's,grocery store
592,25773130,Costco,grocery store
599,25773130,Ralphs,grocery store
600,25773130,Aliso Viejo Middle School,school
601,25773130,Aliso Viejo Community Park,park
607,25745930,Aliso and Wood Canyons Wilderness Park,park
615,25710161,Aliso and Wood Canyons Wilderness Park,park
616,25710161,Laguna Hills High School,school
630,25548977,Aliso and Wood Canyons Wilderness Park,park
631,25548977,Trader Joe's,grocery store
633,25548977,Ralphs,grocery store
638,25548977,Don Juan Avila Elementary School,school
640,25549812,Aliso Niguel High School,school
641,25549812,Aliso and Wood Canyons Wilderness Park,park
643,25549812,Trader Joe's,grocery store
646,25549812,Ralphs,grocery store
653,25549812,Don Juan Avila Elementary School,school
655,25762274,Aliso and Wood Canyons Wilderness Park,park
657,25762274,Trader Joe's,grocery store
664,25762274,Ralphs,grocery store
665,25762274,Aliso Viejo Middle School,school
666,25762274,Aliso Viejo Community Park,park
675,25675717,Aliso Niguel High School,school
677,25675717,Aliso and Wood Canyons Wilderness Park,park
679,25675717,Costco,grocery store
680,25675717,Whole Foods Market,grocery store
681,25675717,Laguna Niguel Elementary School,school
684,25675717,Laguna Niguel Regional Park,park
694,25762260,Aliso and Wood Canyons Wilderness Park,park
696,25762260,Trader Joe's,grocery store
697,25762260,Laguna Hills High School,school
704,25762260,Ralphs,grocery store
705,25762260,Aliso Viejo Middle School,school
706,25762260,Aliso Viejo Community Park,park
714,25548551,Aliso and Wood Canyons Wilderness Park,park
724,25548551,Don Juan Avila Elementary School,school
727,25549147,Aliso and Wood Canyons Wilderness Park,park
735,25549147,Don Juan Avila Elementary School,school
736,25664404,Aliso Niguel High School,school
738,25664404,Aliso and Wood Canyons Wilderness Park,park
740,25664404,Trader Joe's,grocery store
741,25664404,Costco,grocery store
742,25664404,Whole Foods Market,grocery store
744,25664404,Laguna Niguel Regional Park,park
747,25664404,Ralphs,grocery store
755,25745223,Aliso and Wood Canyons Wilderness Park,park
756,25745223,Trader Joe's,grocery store
759,25745223,Ralphs,grocery store
766,25745223,Don Juan Avila Elementary School,school
769,25666541,Aliso and Wood Canyons Wilderness Park,park
770,25666541,Laguna Hills High School,school
776,25666541,Aliso Viejo Middle School,school
777,25666541,Aliso Viejo Community Park,park
789,25549637,Aliso and Wood Canyons Wilderness Park,park
796,25549637,Don Juan Avila Elementary School,school
797,25675662,Aliso Niguel High School,school
798,25675662,Aliso and Wood Canyons Wilderness Park,park
799,25675662,Whole Foods Market,grocery store
800,25675662,Laguna Niguel Regional Park,park
808,25664773,Aliso Niguel High School,school
810,25664773,Aliso and Wood Canyons Wilderness Park,park
812,25664773,Trader Joe's,grocery store
813,25664773,Costco,grocery store
820,25664773,Ralphs,grocery store
821,25664773,Aliso Viejo Middle School,school
822,25664773,Aliso Viejo Community Park,park
828,25762060,Aliso and Wood Canyons Wilderness Park,park
830,25762060,Trader Joe's,grocery store
831,25762060,Laguna Hills High School,school
838,25762060,Ralphs,grocery store
839,25762060,Aliso Viejo Middle School,school
840,25762060,Aliso Viejo Community Park,park
848,25773599,Aliso Niguel High School,school
850,25773599,Aliso and Wood Canyons Wilderness Park,park
852,25773599,Trader Joe's,grocery store
853,25773599,Costco,grocery store
859,25773599,Ralphs,grocery store
860,25773599,Aliso Viejo Middle School,school
861,25773599,Aliso Viejo Community Park,park
868,25742463,Aliso Niguel High School,school
869,25742463,Aliso and Wood Canyons Wilderness Park,park
872,25742463,Ralphs,grocery store
882,25745765,Aliso and Wood Canyons Wilderness Park,park
893,25763443,Aliso and Wood Canyons Wilderness Park,park
908,25550138,Aliso Niguel High School,school
909,25550138,Aliso and Wood Canyons Wilderness Park,park
911,25550138,Trader Joe's,grocery store
914,25550138,Ralphs,grocery store
920,25550138,Don Juan Avila Elementary School,school
923,25761426,Aliso Niguel High School,school
924,25761426,Aliso and Wood Canyons Wilderness Park,park
925,25761426,Whole Foods Market,grocery store
926,25761426,Laguna Niguel Regional Park,park
933,25664325,Aliso Niguel High School,school
935,25664325,Aliso and Wood Canyons Wilderness Park,park
937,25664325,Trader Joe's,grocery store
938,25664325,Costco,grocery store
945,25664325,Ralphs,grocery store
946,25664325,Aliso Viejo Middle School,school
947,25664325,Aliso Viejo Community Park,park
953,25710519,Aliso and Wood Canyons Wilderness Park,park
954,25710519,Trader Joe's,grocery store
955,25710519,Laguna Hills High School,school
962,25710519,Aliso Viejo Middle School,school
963,25710519,Aliso Viejo Community Park,park
973,25762048,Aliso and Wood Canyons Wilderness Park,park
975,25762048,Trader Joe's,grocery store
976,25762048,Laguna Hills High School,school
983,25762048,Ralphs,grocery store
984,25762048,Aliso Viejo Middle School,school
985,25762048,Aliso Viejo Community Park,park
993,25664954,Aliso Niguel High School,school
995,25664954,Aliso and Wood Canyons Wilderness Park,park
997,25664954,Trader Joe's,grocery store
998,25664954,Costco,grocery store
1005,25664954,Ralphs,grocery store
1006,25664954,Aliso Viejo Middle School,school
1007,25664954,Aliso Viejo Community Park,park
1013,25761779,Aliso and Wood Canyons Wilderness Park,park
1025,25664440,Aliso Niguel High School,school
1027,25664440,Aliso and Wood Canyons Wilderness Park,park
1029,25664440,Costco,grocery store
1030,25664440,Whole Foods Market,grocery store
1032,25664440,Laguna Niguel Regional Park,park
1035,25664440,Ralphs,grocery store
1043,25761562,Aliso and Wood Canyons Wilderness Park,park
1044,25761562,Trader Joe's,grocery store
1045,25761562,Laguna Hills High School,school
1050,25761562,Aliso Viejo Middle School,school
1051,25761562,Aliso Viejo Community Park,park
1061,25761562,Don Juan Avila Elementary School,school
1063,69257729,Aliso Niguel High School,school
1065,69257729,Aliso and Wood Canyons Wilderness Park,park
1067,69257729,Trader Joe's,grocery store
1068,69257729,Costco,grocery store
1074,69257729,Ralphs,grocery store
1075,69257729,Aliso Viejo Middle School,school
1076,69257729,Aliso Viejo Community Park,park
1083,25667527,Aliso Niguel High School,school
1085,25667527,Aliso and Wood Canyons Wilderness Park,park
1087,25667527,Trader Joe's,grocery store
1088,25667527,Costco,grocery store
1089,25667527,Whole Foods Market,grocery store
1091,25667527,Laguna Niguel Regional Park,park
1094,25667527,Ralphs,grocery store
1095,25667527,Aliso Viejo Community Park,park
1103,25710078,Aliso and Wood Canyons Wilderness Park,park
1104,25710078,Laguna Hills High School,school
1120,25667343,Aliso Niguel High School,school
1122,25667343,Aliso and Wood Canyons Wilderness Park,park
1124,25667343,Trader Joe's,grocery store
1125,25667343,Costco,grocery store
1128,25667343,Laguna Niguel Regional Park,park
1131,25667343,Ralphs,grocery store
1132,25667343,Aliso Viejo Middle School,school
1133,25667343,Aliso Viejo Community Park,park
1140,25548541,Aliso and Wood Canyons Wilderness Park,park
1151,25548541,Don Juan Avila Elementary School,school
1154,25550426,Aliso Niguel High School,school
1155,25550426,Aliso and Wood Canyons Wilderness Park,park
1156,25550426,Laguna Niguel Regional Park,park
1164,25665212,Aliso Niguel High School,school
1166,25665212,Aliso and Wood Canyons Wilderness Park,park
1168,25665212,Trader Joe's,grocery store
1169,25665212,Costco,grocery store
1176,25665212,Ralphs,grocery store
1177,25665212,Aliso Viejo Middle School,school
1178,25665212,Aliso Viejo Community Park,park
1184,25761508,Aliso Niguel High School,school
1186,25761508,Aliso and Wood Canyons Wilderness Park,park
1188,25761508,Whole Foods Market,grocery store
1190,25761508,Laguna Niguel Regional Park,park
1198,25761680,Aliso and Wood Canyons Wilderness Park,park
1212,25762078,Aliso and Wood Canyons Wilderness Park,park
1214,25762078,Trader Joe's,grocery store
1215,25762078,Laguna Hills High School,school
1222,25762078,Ralphs,grocery store
1223,25762078,Aliso Viejo Middle School,school
1224,25762078,Aliso Viejo Community Park,park
1232,25746033,Aliso Niguel High School,school
1233,25746033,Aliso and Wood Canyons Wilderness Park,park
1235,25746033,Trader Joe's,grocery store
